Protein.uniprotID	Protein.proID
Q6UWV7	PR_Q6UWV7
P04004	PR_P04004
Q9SKI4	PR_Q9SKI4
O59736	PR_O59736
Q9M0G7	PR_Q9M0G7
Q5W0Q7	PR_Q5W0Q7
Q8H0V6	PR_Q8H0V6
Q9Z1Q3	PR_Q9Z1Q3
Q9ZUP0	PR_Q9ZUP0
Q02959	PR_Q02959
Q54GE8	PR_Q54GE8
Q8T2Q8	PR_Q8T2Q8
P77318	PR_P77318
P15648	PR_P15648
O88628	PR_O88628
P23023	PR_P23023
P48346	PR_P48346
Q8RXN0	PR_Q8RXN0
Q4V8C2	PR_Q4V8C2
Q96HQ2	PR_Q96HQ2
Q3MHS2	PR_Q3MHS2
A6NGN4	PR_A6NGN4
P87318	PR_P87318
Q6NTF7	PR_Q6NTF7
Q08033	PR_Q08033
Q61234	PR_Q61234
Q9QXC1	PR_Q9QXC1
O15165	PR_O15165
P17745	PR_P17745
O61491	PR_O61491
Q6ZTU2	PR_Q6ZTU2
Q9P0P0	PR_Q9P0P0
Q03222	PR_Q03222
Q9FJT2	PR_Q9FJT2
O22056	PR_O22056
Q10189	PR_Q10189
Q54PB4	PR_Q54PB4
Q5ZJP7	PR_Q5ZJP7
Q5RGA4	PR_Q5RGA4
Q6PEW0	PR_Q6PEW0
Q9Z270	PR_Q9Z270
Q9Y703	PR_Q9Y703
P77488	PR_P77488
P21555	PR_P21555
P0ADX5	PR_P0ADX5
Q9ULZ9	PR_Q9ULZ9
P0CL84	PR_P0CL84
Q9SVH9	PR_Q9SVH9
Q9US01	PR_Q9US01
Q9LQ98	PR_Q9LQ98
P0C2F7	PR_P0C2F7
Q2YQ67	PR_Q2YQ67
P34748	PR_P34748
P10351	PR_P10351
P63147	PR_P63147
Q55AB6	PR_Q55AB6
P39749	PR_P39749
P39362	PR_P39362
Q9WUH5	PR_Q9WUH5
P32865	PR_P32865
P39293	PR_P39293
Q9UT79	PR_Q9UT79
Q8S4F6	PR_Q8S4F6
Q12329	PR_Q12329
Q38798	PR_Q38798
Q8NFZ4	PR_Q8NFZ4
P47117	PR_P47117
Q9U3L0	PR_Q9U3L0
Q9VFG8	PR_Q9VFG8
O88532	PR_O88532
O60950	PR_O60950
Q7RTV3	PR_Q7RTV3
Q9ZQF0	PR_Q9ZQF0
Q91VJ1	PR_Q91VJ1
Q9YI98	PR_Q9YI98
P25311	PR_P25311
Q54UK6	PR_Q54UK6
P68032	PR_P68032
Q8K1K6	PR_Q8K1K6
D4A204	PR_D4A204
O88204	PR_O88204
Q9H2C5	PR_Q9H2C5
P43304	PR_P43304
Q9FJ47	PR_Q9FJ47
Q9USZ3	PR_Q9USZ3
Q9BXS9	PR_Q9BXS9
Q8R4Z9	PR_Q8R4Z9
P0ACX0	PR_P0ACX0
P63182	PR_P63182
P53291	PR_P53291
O15520	PR_O15520
