Chemical.meshID	Chemical.chebiID
MESH_C027250	CHEBI_132752
MESH_D018818	CHEBI_5002
MESH_D000077727	CHEBI_404903
MESH_C079168	CHEBI_2512
MESH_D008691	CHEBI_6807
MESH_C427725	CHEBI_17098
MESH_D010418	CHEBI_31974
MESH_C105671	CHEBI_5169
MESH_C107676	CHEBI_4357
MESH_C013690	CHEBI_17907
MESH_C413983	CHEBI_145553
MESH_D006589	CHEBI_31669
MESH_C577055	CHEBI_171752
MESH_C018245	CHEBI_81174
MESH_C512101	CHEBI_33067
MESH_C027311	CHEBI_34197
MESH_C006848	CHEBI_17120
MESH_D014580	CHEBI_9907
MESH_D011509	CHEBI_37396
MESH_C056699	CHEBI_33090
MESH_C011067	CHEBI_15907
MESH_C030272	CHEBI_18300
MESH_C410644	CHEBI_79325
MESH_C112528	CHEBI_34825
MESH_C020436	CHEBI_7639
MESH_C073266	CHEBI_4003
MESH_D047310	CHEBI_58470
MESH_C518704	CHEBI_17566
MESH_C028401	CHEBI_17922
MESH_D017646	CHEBI_25713
MESH_C000615457	CHEBI_52457
MESH_C012737	CHEBI_2705
MESH_D009340	CHEBI_88316
MESH_C066061	CHEBI_42142
MESH_C052307	CHEBI_132812
MESH_D011193	CHEBI_8346
MESH_D008691	CHEBI_167308
MESH_C015872	CHEBI_36522
MESH_C452433	CHEBI_52581
MESH_C019403	CHEBI_79220
MESH_C009173	CHEBI_32574
MESH_D009173	CHEBI_168396
MESH_C009387	CHEBI_9419
MESH_C097859	CHEBI_72760
MESH_C004656	CHEBI_27871
MESH_C000009	CHEBI_17261
MESH_D004005	CHEBI_101085
MESH_C000976	CHEBI_17001
MESH_D009070	CHEBI_599928
MESH_C001447	CHEBI_91179
MESH_C027993	CHEBI_35028
MESH_C069808	CHEBI_36301
MESH_C048175	CHEBI_6092
MESH_C556578	CHEBI_142397
MESH_C035100	CHEBI_31911
MESH_C063160	CHEBI_29219
MESH_C031280	CHEBI_14973
MESH_C088788	CHEBI_39007
MESH_C519714	CHEBI_8638
MESH_C006848	CHEBI_31328
