Protein.proID	Cofactor.chebiID
PR_Q9BU02	CHEBI_18420
PR_P04053	CHEBI_18420
PR_Q86UE8	CHEBI_18420
PR_Q96TA2	CHEBI_29105
PR_O14795	CHEBI_29108
PR_P47989	CHEBI_49601
PR_P47989	CHEBI_71302
PR_P47989	CHEBI_57692
PR_Q9UL54	CHEBI_18420
PR_P36897	CHEBI_18420
PR_P36897	CHEBI_29035
PR_O95551	CHEBI_18420
PR_O95551	CHEBI_29035
PR_P22033	CHEBI_18408
PR_O43847	CHEBI_29105
PR_Q969P6	CHEBI_29108
PR_Q969P6	CHEBI_18420
PR_Q9Y3S1	CHEBI_18420
PR_Q9Y6L7	CHEBI_29105
PR_Q86Y38	CHEBI_60240
PR_Q9C0D7	CHEBI_18420
PR_Q8NBZ7	CHEBI_57540
PR_Q9NQW7	CHEBI_29035
PR_Q86VQ6	CHEBI_57692
PR_Q16659	CHEBI_18420
PR_O75439	CHEBI_29105
PR_O60882	CHEBI_29105
PR_O60882	CHEBI_29108
PR_Q9H306	CHEBI_29105
PR_Q9H306	CHEBI_29108
PR_Q9NQ66	CHEBI_29108
PR_O14684	CHEBI_57925
PR_Q03393	CHEBI_29105
PR_Q16822	CHEBI_29035
PR_P14920	CHEBI_57692
PR_Q12972	CHEBI_18420
PR_Q9UBT6	CHEBI_18420
PR_Q9UBT6	CHEBI_29035
PR_Q04759	CHEBI_18420
PR_Q9H008	CHEBI_18420
PR_Q99542	CHEBI_29105
PR_Q99542	CHEBI_29108
PR_P08254	CHEBI_29105
PR_P08254	CHEBI_29108
PR_P09237	CHEBI_29105
PR_P09237	CHEBI_29108
PR_O15162	CHEBI_29105
PR_O15162	CHEBI_29108
PR_O15162	CHEBI_18420
PR_Q9UBF8	CHEBI_18420
PR_Q9UBF8	CHEBI_29035
PR_Q8N819	CHEBI_18420
PR_Q8N819	CHEBI_29035
PR_P13716	CHEBI_29105
PR_O95848	CHEBI_18420
PR_Q8IVL5	CHEBI_38290
PR_Q8IVL5	CHEBI_24875
PR_O15350	CHEBI_29105
PR_P11908	CHEBI_18420
PR_Q9H974	CHEBI_29105
PR_Q96E22	CHEBI_18420
PR_Q969G6	CHEBI_29105
PR_Q969G6	CHEBI_18420
PR_Q96MB7	CHEBI_60240
PR_Q9NZM3	CHEBI_29108
PR_Q6ZMT4	CHEBI_29033
PR_Q8NES3	CHEBI_29035
PR_P18054	CHEBI_24875
PR_Q12852	CHEBI_18420
PR_P26572	CHEBI_29035
PR_P51160	CHEBI_60240
PR_Q8NBP7	CHEBI_29108
PR_P05186	CHEBI_29105
PR_P05186	CHEBI_18420
PR_Q92626	CHEBI_29108
PR_Q92626	CHEBI_60344
PR_Q9BVS4	CHEBI_18420
PR_Q9Y2H9	CHEBI_18420
PR_P50579	CHEBI_29105
PR_P50579	CHEBI_29033
PR_P50579	CHEBI_29035
PR_P50579	CHEBI_48828
PR_P39877	CHEBI_29108
PR_Q8NA58	CHEBI_18420
PR_Q6ZRP7	CHEBI_57692
PR_Q2QD12	CHEBI_29105
PR_Q2QD12	CHEBI_29033
PR_Q2QD12	CHEBI_29035
PR_Q2QD12	CHEBI_48828
PR_Q96AT9	CHEBI_29105
PR_Q96AT9	CHEBI_29033
PR_Q96AT9	CHEBI_29035
PR_Q96AT9	CHEBI_48828
PR_Q03519	CHEBI_18420
PR_Q6N021	CHEBI_29105
PR_Q6N021	CHEBI_29033
PR_Q9BQ50	CHEBI_18420
PR_Q5TAX3	CHEBI_18420
PR_Q5TAX3	CHEBI_29035
PR_A2RUC4	CHEBI_29033
PR_Q8IWU6	CHEBI_29108
PR_O43581	CHEBI_29108
PR_Q9NNW7	CHEBI_57692
