Protein.proID	Catalyst.chebiID
PR_Q86SF2	CHEBI_67138
PR_Q86SF2	CHEBI_53604
PR_Q86SF2	CHEBI_30013
PR_Q86SF2	CHEBI_29999
PR_Q86SF2	CHEBI_58223
PR_Q10472	CHEBI_15378
PR_Q10472	CHEBI_87075
PR_Q10472	CHEBI_67138
PR_Q10472	CHEBI_53604
PR_Q10472	CHEBI_30013
PR_Q10472	CHEBI_29999
PR_Q10472	CHEBI_58223
PR_P23378	CHEBI_15378
PR_P23378	CHEBI_83143
PR_P23378	CHEBI_57305
PR_P23378	CHEBI_83099
PR_P23378	CHEBI_16526
PR_Q9UJ14	CHEBI_78608
PR_Q9UJ14	CHEBI_15377
PR_Q9UJ14	CHEBI_29985
PR_Q9UJ14	CHEBI_78597
PR_Q9UJ14	CHEBI_57925
PR_Q9UJ14	CHEBI_78599
PR_Q9UJ14	CHEBI_90779
PR_Q9UJ14	CHEBI_77644
PR_Q9UJ14	CHEBI_143103
PR_Q9UJ14	CHEBI_61694
PR_Q9H227	CHEBI_72961
PR_Q9H227	CHEBI_22801
PR_Q9H227	CHEBI_15377
PR_Q9H227	CHEBI_84720
PR_Q9H227	CHEBI_18390
PR_Q9H227	CHEBI_4167
PR_Q9H227	CHEBI_83992
PR_Q9H227	CHEBI_4139
PR_Q9H227	CHEBI_57756
PR_Q9H227	CHEBI_84719
PR_Q9H227	CHEBI_57934
PR_Q9H227	CHEBI_52639
PR_O43716	CHEBI_15377
PR_O43716	CHEBI_29985
PR_O43716	CHEBI_15378
PR_O43716	CHEBI_43474
PR_O43716	CHEBI_58359
PR_O43716	CHEBI_30616
PR_O43716	CHEBI_78521
PR_O43716	CHEBI_78520
PR_O43716	CHEBI_456216
PR_Q14410	CHEBI_15378
PR_Q14410	CHEBI_30616
PR_Q14410	CHEBI_17754
PR_Q14410	CHEBI_57597
PR_Q14410	CHEBI_456216
PR_Q7RTV2	CHEBI_17792
PR_Q7RTV2	CHEBI_15378
PR_Q7RTV2	CHEBI_57925
PR_Q7RTV2	CHEBI_16042
PR_Q7RTV2	CHEBI_90779
PR_P08397	CHEBI_15377
PR_P08397	CHEBI_57845
PR_P08397	CHEBI_28938
PR_P08397	CHEBI_58126
PR_P49441	CHEBI_15377
PR_P49441	CHEBI_43474
PR_P49441	CHEBI_58469
PR_P49441	CHEBI_58282
PR_P12268	CHEBI_15377
PR_P12268	CHEBI_15378
PR_P12268	CHEBI_57540
PR_P12268	CHEBI_58053
PR_P12268	CHEBI_57464
PR_P12268	CHEBI_57945
PR_Q6B0I6	CHEBI_15379
PR_Q6B0I6	CHEBI_61961
PR_Q6B0I6	CHEBI_61929
PR_Q6B0I6	CHEBI_16810
PR_Q6B0I6	CHEBI_16842
PR_Q6B0I6	CHEBI_16526
PR_Q6B0I6	CHEBI_30031
PR_P05771	CHEBI_15378
PR_P05771	CHEBI_30616
PR_P05771	CHEBI_61977
PR_P05771	CHEBI_83421
PR_P05771	CHEBI_30013
PR_P05771	CHEBI_456216
PR_P05771	CHEBI_29999
PR_P62714	CHEBI_15377
PR_P62714	CHEBI_43474
PR_P62714	CHEBI_61977
PR_P62714	CHEBI_83421
PR_P62714	CHEBI_30013
PR_P62714	CHEBI_29999
PR_Q6P087	CHEBI_65314
PR_Q6P087	CHEBI_65315
PR_Q9C0K1	CHEBI_29105
PR_Q9C0K1	CHEBI_18212
PR_Q9C0K1	CHEBI_48775
PR_Q9C0K1	CHEBI_17544
PR_Q9C0K1	CHEBI_29033
PR_Q9C0K1	CHEBI_16793
PR_Q9C0K1	CHEBI_29035
PR_Q9C0K1	CHEBI_48828
PR_Q9HAB3	CHEBI_57986
PR_P58004	CHEBI_15377
PR_P58004	CHEBI_35924
PR_P58004	CHEBI_50058
PR_P58004	CHEBI_29950
PR_P58004	CHEBI_30879
PR_Q13228	CHEBI_16240
PR_Q13228	CHEBI_15377
PR_Q13228	CHEBI_15378
PR_Q13228	CHEBI_15379
PR_Q13228	CHEBI_16007
PR_Q13228	CHEBI_16842
PR_Q13228	CHEBI_29919
PR_Q9BYC2	CHEBI_35973
PR_Q9BYC2	CHEBI_90726
PR_Q9BYC2	CHEBI_57292
PR_Q9BYC2	CHEBI_30031
PR_Q92835	CHEBI_15377
PR_Q92835	CHEBI_43474
PR_Q92835	CHEBI_58178
PR_Q92835	CHEBI_57895
PR_Q92835	CHEBI_58456
PR_Q92835	CHEBI_57658
PR_Q92835	CHEBI_57836
PR_Q92835	CHEBI_58414
PR_O15357	CHEBI_15377
PR_O15357	CHEBI_43474
PR_O15357	CHEBI_83417
PR_O15357	CHEBI_83416
PR_O15357	CHEBI_57658
PR_O15357	CHEBI_57836
PR_O15357	CHEBI_83420
PR_O15357	CHEBI_83422
PR_O00391	CHEBI_16240
PR_O00391	CHEBI_15379
PR_O00391	CHEBI_17412
PR_O00391	CHEBI_16520
PR_P27708	CHEBI_30864
PR_P27708	CHEBI_15377
PR_P27708	CHEBI_29985
PR_P27708	CHEBI_15378
PR_P27708	CHEBI_43474
PR_P27708	CHEBI_58228
PR_P27708	CHEBI_58359
PR_P27708	CHEBI_29991
PR_P27708	CHEBI_30616
PR_P27708	CHEBI_17544
PR_P27708	CHEBI_456216
PR_P27708	CHEBI_32814
PR_O95602	CHEBI_61557
PR_O95602	CHEBI_83400
PR_O95602	CHEBI_33019
PR_Q86SK9	CHEBI_15377
PR_Q86SK9	CHEBI_15378
PR_Q86SK9	CHEBI_57394
PR_Q86SK9	CHEBI_15379
PR_Q86SK9	CHEBI_57379
PR_Q86SK9	CHEBI_61540
PR_Q86SK9	CHEBI_29033
PR_Q86SK9	CHEBI_29034
PR_Q86SK9	CHEBI_57387
PR_Q11201	CHEBI_27938
PR_Q11201	CHEBI_88069
PR_Q11201	CHEBI_90151
PR_Q11201	CHEBI_90153
PR_Q11201	CHEBI_78568
PR_Q11201	CHEBI_82637
PR_Q11201	CHEBI_77709
PR_Q11201	CHEBI_78445
PR_Q11201	CHEBI_139596
PR_Q11201	CHEBI_82639
PR_Q11201	CHEBI_15378
